Laine Ernesto Contratto, 3 Aug 1952, Lagunitas
Norbert Theola Bott, 12 Apr 1998, Dundas
Jimmy Alma Annino, 2 Dec 1930, Norton
Kathline Becky Choung, 2 Jan 2004, Ellicottville
Karena Alva Vuono, 5 Nov 1937, Aplington
Jerri Christopher Pilapil, 3 Aug 1974, Ivanhoe
Codi Olivia Rofkahr, 14 Jan 2010, Smoot
Kiera Amiee Bolejack, 4 Dec 1923, Valier
Adele Nadene Kerson, 14 Oct 1985, Schoolcraft
Ron Heath Cheshire, 18 Dec 1974, Soldotna
Carma Eugene Labrake, 12 May 1921, Franklinton
Octavia Truman Hellinger, 23 May 1993, Linwood
Geneva Frankie Krzyston, 2 Aug 1938, Mallory
Rex Ellan Benedith, 15 Sep 1927, Gordonsville
Eugenio Ewa Loureiro, 18 Jun 1925, Ransom
Judy Kenneth Selders, 23 Apr 1978, Rison
Josette Ophelia Oakes, 15 Apr 1916, Travelers Rest
Julio Matilda Pieroni, 3 Feb 1930, Tipton
Tiffaney Gilma Kendrew, 13 Jan 2002, Elburn
Ciera Emilia Deshaies, 13 May 1990, Plainfield
Elidia Aurelia Kiraly, 24 Oct 1933, Knierim
Junko Thanh Koback, 6 Dec 1982, Pace
Earnestine Burma Buis, 18 Nov 1971, Indian Head
Coral Mana Fickert, 24 Oct 1952, Harvard
Adalberto Cathie Minder, 27 Jul 2012, Toughkenamon
Sarai Tatum Boeckx, 10 May 1922, Oakland
Kacey Marilynn Sarchett, 13 Jul 1970, Rollinsford
Misha Galina Prudencio, 19 Jul 1945, Newark
Bari Shelli Orellama, 17 Dec 1964, Exeter
Irma Quinn Winterbottom, 1 Oct 2007, Clarks Hill
Kristal Kurt Dansereau, 25 May 1947, Fairfield
Columbus Rico Hummel, 14 May 1940, Cincinnati
Linda Antwan Anderlik, 6 Apr 2005, Old Forge
Yong Cassy Tamburrino, 21 Nov 1923, Holland
Oretha Alverta Squier, 16 Feb 1972, Lake Ariel
Roseanna Fiona Bugenhagen, 13 May 1974, Clayton
Julissa Tennille Penninger, 12 Mar 1932, Hampton
Ludivina Cleta Fawbush, 26 Jul 1902, Zenda
Maris Demetra Mcconnaughhay, 5 Jul 1996, Pike Road
Kathe Nilda Jaurez, 19 Nov 1919, Goldsboro
Bryanna Gladys Bhalla, 22 Jan 1935, Highland Springs
Kasey Nilsa Kaliszewski, 16 Jul 2011, Camden
Kay Odilia Saade, 6 Nov 1969, Stockton
Annie Verena Iadarola, 14 Nov 1987, Adel
Cordell Cassey Setlock, 28 Jun 1999, Warner Robins
Kristan Polly Gibbings, 5 Apr 1957, Donalsonville
Dorethea June Oshell, 22 Dec 1945, Aleknagik
Victor Shannon Doyon, 10 Dec 1985, Surry
Apryl Cayla Crowden, 20 Oct 1905, Rocklin
Willis Yon Slifko, 27 Aug 1961, Edgerton
Naomi Nicholas Chudy, 3 Jan 1941, Sterling
Faustina Mertie Baseler, 18 Mar 1919, Chugiak
Wilfred Sharita Legier, 23 Jan 1946, Sherwood
Merri Oscar Acorda, 25 Feb 1935, Tecopa
Janeen Sandra Orick, 28 May 2010, Winston Salem
Dong Delorse Hockensmith, 13 Jul 1975, Watseka
Micki Nikita Hrdlicka, 22 Sep 1929, Levant
Cecille Belinda Fusch, 1 Feb 1940, Skokie
Season Terry Faraldo, 10 Sep 1934, Meno
Anthony Sun Oms, 25 Oct 1962, Marinette
Clair Raven Dehoyos, 17 Sep 1952, Manokotak
Ted Delpha Mccallen, 22 Sep 1927, Austin
Constance Larry Rouillier, 12 Apr 1952, Kermit
Alton Arlene Grueber, 26 May 1919, Teaneck
Orville Molly Janowiec, 24 Aug 1960, Haigler
Carlena Maryln Saumier, 16 Sep 1950, Romance
Lamonica Normand Natwick, 26 Mar 1945, Yerington
Cinderella Merle Schwan, 11 Apr 1931, Covington
Carissa Evalyn Feinberg, 2 Jul 1968, Houston
Lawrence Gaye Coletta, 22 Jun 1958, Fort Collins
Gregory Ariel Nesin, 19 May 1982, Greencreek
Myrtle Latosha Dalenberg, 25 Apr 1956, Lanham
Quinn Donn Coonfare, 27 Feb 1914, Ranger
Danyell Luis Capellan, 22 Sep 1911, Memphis
Wilma Jason Cronon, 26 Feb 1969, Campbellsville
Bobby Mozell Ysquierdo, 2 Jan 1956, Towaoc
Clementine Shanelle Bajwa, 22 Apr 1943, Greeley
Hedwig Georgine Aldaz, 26 Oct 2008, Albany
Laraine Pearl Roucoulet, 23 Mar 1960, Glendale
Nohemi Ahmad Wlodyka, 19 May 2002, Pilot Point
Cathern Mariana Guillebeau, 16 Jan 1926, Hemet
Corey Ayana Zielonka, 18 Apr 1999, Guntersville
Annis Gayle Schlotte, 22 Dec 1923, Sawyer
Zandra Doretta Pospicil, 16 Oct 2001, Saint Petersburg
Alena Azalee Seyb, 4 Oct 1913, Sioux City
Leonila Julian Liddie, 10 May 2007, Pleasant Grove
Leon Manie Kasee, 27 Oct 1982, Noatak
Caron Vernice Frija, 21 Aug 1914, Chassell
Ebonie Augustine Bramlett, 27 Jun 1904, Whittier
Irving Toby Rist, 22 Mar 1924, Tucson
Kristopher Zada Bottemiller, 7 Jul 1907, Pleasant Shade
Justin Margit Okey, 24 Sep 1990, Tecate
Vilma Alishia Reik, 2 Jan 1921, Claymont
Randall January Mientka, 21 Feb 1920, Calio
Luana Malik Cowdin, 1 Oct 1946, Marion
Illa Freddie Birner, 3 Jun 1992, Chesnee
Daron Sage Glaves, 10 Apr 1937, Parkers Lake
Georgene Gabriel Barbrick, 8 Apr 1907, Waldron
Imogene Toi Cleare, 14 Dec 2010, Le Roy
Janean Dale Vinet, 16 Jan 1926, Hallock
Jaqueline Sherly Kitty, 15 Mar 2003, Hornell
Petra Nanci Fude, 14 Feb 2012, Alamosa
Vinita Shakia Olivid, 2 Nov 1932, De Smet
Porsha Jacquie Accetturo, 10 Mar 1904, Coloma
Charlesetta Christiane Dence, 12 Apr 1984, Stoneham
Kenyetta Margy Shillito, 10 Sep 1931, Maybell
Coreen Debbie Swogger, 13 Sep 1902, Haworth
Kandi Lizette Shoemake, 1 Aug 1928, Concord
Sharell Jacelyn Colletti, 10 Apr 1990, New Boston
Chas Misty Butchee, 11 Jul 1915, Wortham
Stephenie Alona Vattikuti, 5 May 1907, Brinsmade
Merrill Cleo Schurr, 5 Oct 1958, Esperance
Carmen Delsie Granroth, 13 Feb 1948, Far Rockaway
Chantal Jaleesa Barthel, 21 Mar 1983, Caddo
Zofia Myriam Schuchmann, 26 Jan 1984, Corunna
Sade Marguerita Bonetto, 11 May 1985, Grantsville
Mariel Dora Toupe, 20 Jun 1989, Cameron
Luetta Raina Remmel, 3 Feb 1926, Grafton
Edwin Rochelle Maso, 25 Feb 1905, San Francisco
Janetta Verona Caughran, 18 Sep 1952, Taylor Ridge
Corinne Charla Bozych, 25 Mar 2006, Lake Lillian
Myra Mohammed Badget, 3 Nov 1939, Gray
Shaunna Christel Izaguirre, 3 Aug 1998, Bremer
Eloise Sandie Jernstad, 21 Mar 1951, Riverton
Bette Marjory Kluth, 23 Jan 1924, Mount Orab
Lea Emelda Minot, 15 Aug 1966, Oak Ridge
Juliann Vella Vetterkind, 10 Mar 1960, Garyville
Effie Marjory Randolf, 8 Nov 1969, Cale
Madeline Chester Ruzicki, 21 Aug 1974, Macon
Paula Johnie Paccione, 14 Nov 1966, Eden
Margurite Arthur Saterfiel, 24 Jul 1953, Archbold
Tobie Ray Minehan, 18 Mar 1944, Moorhead
Sharyn Gerry Kraham, 12 Jun 1947, Armada
Chung Sanjuanita Fauver, 8 Jan 1921, Caruthersville
Vance Sybil Rosengarten, 21 Nov 1910, Muskogee
Raye Magaly Bellinger, 2 Jun 1920, Billings
Rochel Elmer Schweim, 12 Mar 1938, Redlands
Marhta Veronique Lavene, 26 Feb 1905, Poteet
Nickie Risa Tovmasyan, 25 Apr 1992, Mantee
Anton Melisa Springstead, 16 Aug 2005, Jal
Katlyn Javier Laterza, 12 Jun 1973, Dutton
Ronald Andrew Holleran, 8 Sep 1969, Benton
Joette Travis Sandridge, 20 Sep 1918, Senterville
Lauren Waltraud Hubenthal, 17 Jan 1922, Maylene
Leta Britney Mondry, 23 May 1981, Donnellson
Dorthea Daniel Albrecht, 19 Feb 1959, Bob White
Tierra Shana Hillhouse, 3 Aug 1907, Bridgeport
Jacquie Felipa Mistrot, 10 Aug 1917, Saint Clair Shor
Stella Lucas Hurtt, 16 Sep 1950, Gage
Socorro Noma Nerpio, 13 Jun 1996, Stanfield
Imogene Emelia Pursifull, 15 Jan 1950, Bruno
Viki Jack Leskovac, 24 Oct 1916, Brownsville
Violeta Yessenia Camerino, 5 Sep 1982, Spring Valley
Sherita Kevin Yuengling, 14 Sep 1941, Alvada
Francisca Breann Consigli, 12 May 1964, Bridgeboro
Brittany Josefina Glaus, 23 Nov 2006, Luray
Ariel Inez Humerickhouse, 12 Nov 2003, Whitehall
Genna Sheryl Keeran, 26 Nov 1929, Rig
Leo Kennith Agpaoa, 16 Aug 1952, El Paso
Luisa Katelynn Mondry, 7 Oct 2010, Glendale
Benton Gloria Chesla, 21 Aug 1957, Creston
Howard Kayleen Scavotto, 7 Aug 1974, Creola
Wilfredo Son Manoogian, 2 Aug 1942, Markleysburg
Tanja Albertina Arndell, 21 Jan 1990, Cherokee
Irish Margaret Fatzinger, 8 Dec 1904, Keystone
Frederick Blanch Prairie, 28 Jan 1998, Pleasant View
Hope Chi Griebling, 2 Mar 1920, Winterset
Ammie Renna Zulfer, 26 Mar 1968, Udall
Jamel Leandro Hough, 23 Feb 1950, Arcade
Esteban Shelby Borok, 15 Jan 1921, Hometown
Blake Cole Gannoe, 12 Nov 1978, Washington
Deedee Marquis Bosack, 14 Nov 1968, White Plains
Alyson Todd Ohlsen, 11 Apr 1925, Minden
Austin Tammi Kirklin, 17 Jul 1927, Mildred
Ilda Aimee Burgueno, 6 Feb 1967, Floyds Knobs
Margarito Liza Cotto, 3 Jul 1927, Finley
Ann Kala Ashauer, 13 Feb 2009, Grover
Rocco Zachary Gamero, 16 Nov 1976, Cayce
Cherie Russ Perches, 28 Mar 1976, Bartonville
Avery Christin Cinnamond, 6 Oct 1934, Oscar
Tamela Cheryl Geren, 18 May 1906, Arco
Abdul Loralee Shifman, 18 Apr 1926, Maumee
Joey Refugio Kosty, 11 Jun 1965, Bear Branch
Ladawn Noriko Pickhardt, 5 Apr 1908, Poteet
Esteban Salley Ruppe, 28 Apr 1963, Delaware Water G
Sena Edris Mcgurie, 16 Sep 1998, Leona
Lakesha Janelle Handley, 22 Sep 1970, Metter
Dion Quintin Laliotis, 6 Jul 1939, 32698
Providencia Johnathan Huttle, 24 Sep 1909, Mangham
Jung Nathanial Castiglia, 5 Sep 1932, Meraux
Sammie Latoya Kainz, 5 Nov 1933, Turners Falls
Meta Bryanna Mergen, 7 Dec 1906, Still Pond
Tammara Dixie Dario, 27 Aug 1903, Toledo
Meta Korey Diedrich, 27 Feb 1964, Cushing
Arline Allison Dallavalle, 25 Oct 2014, Bowling Green
Randi Dan Blunkall, 15 Apr 1974, West Covina
Audry Delphia Ryal, 11 Jan 1951, Sumerco
Keisha Maxima Vugteveen, 22 Feb 1961, Minnewaukan
Scott Qiana Pannhoff, 27 Jun 2005, Haverhill
Zelda Delpha Vandyke, 8 Jun 1978, Fort Worth
Debbi Xiomara Odette, 21 Mar 1937, Menasha
Claudine Rosella Erceg, 14 Aug 1904, Eureka
Hung Misty Ricks, 5 Nov 1968, Shepherd
Neely Marilu Linzie, 9 May 1994, Talbert
Arcelia Edwina Landgren, 20 Apr 1943, Ronda
Nedra Brook Piwetz, 12 Aug 1999, Gulston
Karry Tiffiny Fasy, 3 Sep 2005, Vinegar Bend
Cliff Casey Lesches, 22 Feb 2013, Lawson
Georgeann Meghann Hoffmeyer, 13 Feb 1918, Ruso
Mabelle Merideth Aguino, 6 Apr 1976, Scranton
Denisha Tony Decarolis, 28 May 1977, Bethalto
Dyan Lissa Kuhs, 23 Dec 1958, Strandquist
Jeane Florence Beekman, 4 Jan 1943, Little Ferry
Takako Morgan Troiano, 19 Oct 1911, West Palm Beach
Yasmin Brent Zuazo, 1 Jun 1909, New York
Jon Tula Wegleitner, 26 Dec 1921, Saint Olaf
Graig Stefan Dark, 11 Oct 1978, Des Moines
Maxie Piper Drewes, 1 Oct 1978, Mindenmines
Gilda Earlean Tell, 19 Mar 1909, Fellsmere
Claretta Cherry Salge, 21 Dec 1999, Millry
Annamarie Tennie Stricker, 6 Jan 1916, Barneveld
Jesica Kori Claburn, 16 Feb 1934, Fair Play
Jolynn Tonja Decapite, 28 Dec 1977, Summerville
Sona Roxane Tesseyman, 2 Sep 1932, Springville
Addie Charles Valentini, 8 May 1961, North Cape May
Mirella Marisela Pedulla, 16 Oct 1930, Mt Sylvan
Donella Elyse Chustz, 3 Jul 1947, Put In Bay
Carmel Lorilee Thurlby, 17 Aug 1945, Millville
Danuta Cleo Norvell, 11 Jul 1975, Williams Afb
Francisco Frederic Mccoo, 12 Sep 2003, Hermon
Alvina Novella Ledwig, 27 May 1988, Madrid
Willena Coralee Guillotte, 14 May 2014, Luxemburg
Willow Evalyn Kochmanski, 26 Feb 1903, Lumberton
Mahalia Ligia Kitchens, 20 Nov 1908, Hokendauqua
Alana Madeleine Choo, 24 Mar 1931, Haskell
Dwayne Etha Hoenig, 8 May 1922, Detroit
Pilar Marhta Maillet, 14 Aug 1986, Appleton
Joslyn Sharda Hergenreter, 23 Mar 1967, Amenia
Justa Dinorah Gjokaj, 27 Mar 1941, Dennis
Thi Rozella Klug, 19 Jun 1981, Litchfield Park
Emiko Adell Talmadge, 13 Oct 2014, Belfast
Ilda Fatimah Friley, 8 Dec 1964, Preston
Carlton Christy Labar, 26 Oct 1930, Edison
Hung Sigrid Gummersall, 10 Dec 1922, Lafayette
Twyla Eugene Varvil, 27 Aug 1902, Fortescue
Pat Elenora Miao, 1 Apr 1998, Christopher
Jennefer Myung Mitchelle, 5 Aug 1913, Colchester
Shelby Martin Justis, 22 May 1909, Rolla
Lorena Frances Shoaf, 22 Jun 1949, Iron Ridge
Harriette Lamont Solley, 2 Sep 1902, Marysville
Diann Lessie Batty, 27 Feb 1989, Fort Ripley
Shawanna Iris Timlin, 7 Oct 1999, Emelle
Salvador Lorenza Morishita, 10 Sep 1923, Freeland
Karleen Gerald Piggs, 6 Dec 1931, Vero Beach
Glen Perry Schwentker, 22 Mar 1928, Olla
Gilberto Oneida Schlag, 18 Sep 2004, Kalama
Audrie Pamula Garahan, 27 Dec 1953, North Muskegon
Rosalinda Cathi Barns, 21 May 1970, Pine Island
Dierdre Maren Lassetter, 22 Sep 1919, Chesterfield
Rochelle Migdalia Alverez, 28 May 1900, Stafford
Elwanda Lanell Fentress, 6 Jan 1962, Hampton
Madelyn Arianne Galassi, 20 Apr 1998, Valparaiso
Sherrell Jenell Marovic, 11 Aug 1930, Portland
Coralie Jack Heather, 17 Nov 1938, Dearborn
Kaye Laurette Tessitore, 16 Feb 1914, Marlin
Charlie Nancie Haaz, 10 Mar 2000, Colorado Springs
Devora Gennie Clolinger, 15 Feb 1983, Eunice
Roslyn Ramonita Monte, 6 May 1972, Bellflower
Bradly Lottie Fuerst, 16 Aug 2000, Tuscola
Lucius Wanita Krough, 10 Sep 1944, Union
Jude Edwin Zan, 11 Jan 1987, Dunbarton
